Que,Intent,Type,Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What security do I need to provide to obtain a Business loan?,Business Loan,Text,"To obtain the loan, there is absolutely no need to provide any security or collateral.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the benefits of having a Current/Saving Account for my Business loan?,Business Loan,Text,"You get preferred Processing Fee, priority processing and simpler documentation if you have a Current/Saving Account with XYZ Bank. This is taken into account at the time of disbursal of the loan. You can pay through Standing Instructions to debit your XYZ Bank Account with the EMI amount.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How long will it take for me to get a Business Loan?,Business Loan,Text,"Once you submit your application form and supporting documents, we shall give disbursal within 5* working days provided everything is in order. All loan approvals are at the sole discretion of the bank.

* Terms and conditions apply. Loan at sole discretion of XYZ Bank limited. Subject to documentation and verification as per Banks requirement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can I repay the loan earlier for Business Loan?,Business Loan,Text,"Yes, you can choose to repay your loan anytime after 6 months of taking the loan and after you have paid 06 EMIs along with applicable foreclosure charges. Please note Loan can be foreclosed by issuing a Demand draft / cheque at the branch; kindly note that cash beyond Rs. 49000/- will not be accepted for loan repayment against full closure/matured loan closure payment. Any payment above Rs. 49000/- should be made vide Account payee Cheque / Pay order /Demand draft.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can I get my address changed in my loan account?,Business Loan,Text,Request form for Address Change,Self Attested copy of your revised address proof along with the original address proof for validation.,"In case a bearer submits the request on your behalf, a bearer authorisation along with KYC documents(self attested copy and original for validation) of the bearer, i.e. Identity and Signature Proof like PAN Card, Aadhar Card, Driving License or Passport Copy will also need to be provided.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much loan can I avail of Business Loan?,Business Loan,Text,"You can avail of a loan from Rs 50,000/- to Rs 50,00,000/- depending on your income, repayment capacity and respective location product cap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the loan tenure options for Business Loan?,Business Loan,Text,"You can repay your loan over a period of 12 to 48 months

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much finance can I avail of on New Car Loans?,Car Loans,Text,"You can borrow up to 90% of the invoice value. However, the minimum loan amount is Rs. 1,00,000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do I need to pledge anything or give collateral to get a car loan?
",Car Loans,Text,"No, there’s no need for any collateral. You will only need you to hypothecate the car in our name. An endorsement will have to be made in the Registration Certificate (RC) book of the vehicle. This will be cancelled after you repay the loan.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How long can the tenure of my car loan be?,Car Loans,Text,"Usually the tenure of an Auto Loan is 3 to 7 years. The tenure also depends on the type of car you wish to purchase. If it is a super premium car the tenure is restricted to 3 years only. In addition, the higher your tenure is the lower your EMI will be, but the total interest outflow is higher.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
